timestamp,ax,ay,az,gx,gy,gz
1710000000.0,0.0152,0.0113,9.7945,-0.01557,0.01129,-0.00365
1710000000.01,-0.052,-0.0027,9.813,0.01137,-0.00774,-0.00924
1710000000.02,0.0375,0.0432,9.748,-0.02026,-0.00314,0.00333
1710000000.03,0.047,0.0303,9.7406,0.0161,-0.00345,0.00611
1710000000.04,-0.0976,-0.1493,9.8191,-0.00256,-0.01334,0.00485
1710000000.05,-0.0651,0.0273,9.7721,0.00369,-0.0078,-0.0167
1710000000.06,0.0064,-0.0502,9.7374,0.01062,-0.011,0.00345
1710000000.07,-0.0158,-0.0711,9.8583,-0.00603,-0.01049,0.01041
1710000000.08,-0.0008,-0.0094,9.7784,0.00599,-0.00115,0.00084
1710000000.09,-0.0427,0.0205,9.8675,-0.01024,0.00796,0.00506
1710000000.1,0.044,-0.082,9.8114,-0.00641,0.0188,0.01303
1710000000.11,0.0389,0.0352,9.8247,0.00438,0.00556,-0.01068
1710000000.12,0.0033,0.0382,9.7994,0.00417,0.01684,-0.00129
1710000000.13,0.0564,0.0023,9.6772,0.00361,-0.01187,-0.01087
1710000000.14,0.0234,-0.0434,9.7532,0.01477,0.01763,-0.00322
1710000000.15,-0.043,-0.049,9.8037,-0.00077,-0.00316,-0.01
1710000000.16,0.0184,0.0513,9.8282,0.01608,0.02222,0.00057
1710000000.17,-0.0479,-0.0756,9.7205,0.0006,-0.00969,0.01656
1710000000.18,0.0439,0.0532,9.8073,0.00603,0.01071,-0.00277
1710000000.19,-0.0025,-0.0083,9.7539,0.00733,-0.012,0.00149
1710000000.2,-0.0092,-0.0048,9.8217,-0.00505,-0.01131,0.01496
1710000000.21,-0.034,-0.0854,9.809,0.0021,0.02232,-0.00737
1710000000.22,0.0611,-0.0073,9.8472,-0.01452,-0.00856,-0.00388
1710000000.23,-0.0077,0.0307,9.8633,0.00108,0.00248,-0.0005
1710000000.24,-0.0214,-0.0668,9.8329,0.0007,-0.01173,-0.0041
1710000000.25,-0.0176,0.0249,9.853,0.00538,0.00035,0.01327
1710000000.26,0.0266,0.0045,9.7925,-0.00124,0.02032,-0.01001
1710000000.27,0.0183,-0.0322,9.9512,0.01785,0.00283,-0.00252
1710000000.28,0.0206,0.0427,9.7491,-0.01698,-0.00534,0.01176
1710000000.29,0.0215,-0.1101,9.7836,-0.01175,-0.00394,0.00151
1710000000.3,0.1071,0.0173,9.8551,-0.00957,-0.00122,-0.00738
1710000000.31,-0.0203,0.081,9.8476,-0.0004,0.00047,-0.00466
1710000000.32,-0.0256,0.072,9.8344,-0.00779,0.00403,0.00412
1710000000.33,-0.0407,0.0195,9.8438,-0.01172,0.00798,-0.01592
1710000000.34,0.0308,-0.0151,9.7058,-0.00504,-0.00628,0.01293
1710000000.35,0.0564,-0.0318,9.8895,-0.01473,0.006,0.00049
